calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"Akademisyenlerden oluşan yazar kadrosu ile kurumsal ve bireysel müşterilerinin araştırma alanındaki taleplerine 10 yılı aşkın süredir yanıt vermekte olan Cambridge-İngiltere merkezli firmamızın İstanbul-Kozyatağı'nda bulunan IT ofisinde tam zamanlı olarak çalışacak takım arkadaşları aramaktayız.,GENEL NİTELİKLER,Üniversitelerin 4 yıllık mühendislik (Bilgisayar, Matematik, Yazılım vb.) veya ilgili bölümlerinden mezun,Minimum 5 yıl kurumsal projelerde yazılım geliştirme deneyimi olan,Literatürü takip edecek düzeyde İngilizce bilgisine sahip,Takım ruhu bilincine sahip, disiplinli çalışmayı seven, sorumluluk sahibi,Erkek adaylar için askerlik ile ilişkisi olmayan,GEREKSİNİMLER,Çok iyi derecede C# bilgisine sahip,ASP.NET Core ile proje geliştirmiş,Microservice mimarisi konusunda tecrübesi olan,Container mantığını bilen (Docker),NoSQL database deneyimi olan (ElasticSearch),MS SQL Server/PostgreSQL vb. RDBMS deneyimi olan,SOLID, OOP ve DDD kavramlarına hâkim,SOA ve EDA mimarisi konusunda bilgi sahibi,DevOps ve CI/CD konularında temel bilgi ve tecrübe sahibi,Agile yazılım geliştirme süreçleri bilgisine sahip (Scrum, Kanban vb.),GIT, Jira gibi araçları etkin kullanabilen,İŞ TANIMI,Şirketimiz bünyesinde geliştirilen web ve mobil projeler için yazılım geliştirme metodoloji ve süreçlerine adapte olarak, uygulama geliştirme çalışmalarında görev alınması,Test, hata ayıklama, kalite standartları ölçümlemeleri ve devreye alma çalışmalarının yerine getirilmesi,Kullanıcı seviyesinde ortaya çıkan hataların ve iyileştirme ihtiyaçlarının tespit ederek raporlaması,Geliştirilen özelliğe ait teknik tasarım dokümanının oluşturulması",Kıdemli .NET Yazılım Uzmanı,banka_sigorta,,,Nislo Research,
,,,"Şirketimizin Ankara'da yürütmekte olduğu yazılım projelerinde görevlendirilmek üzere; üniversitelerin Bilgisayar, Elektrik-Elektronik, Endüstri Mühendisliği veya Matematik bölümlerinden mezun, aşağıdaki niteliklerde‘’C/C++ Yazılım Uzmanı’’ alınacaktır.,Genel Nitelikler:,* C ve C++ dillerini kullanarak uygulama geliştirebilen, ,* Uygulamaları Ms Windows ve Linux işletim sistemleri için derleyebilen, ,* Kaynak kod optimizasyonu yapabilen, ,* Tercihen temel kriptografi bilgilerine sahip, ,* Tercihen akıllı kart teknolojilerine aşina, ,* Araştırma ve geliştirme odaklı, ,* Problem çözebilme becerisi gelişmiş, ,* En az iki yıl çalışma tecrübesi olan, ,* İyi derecede İngilizce bilen, ,* Geçerli bir “Kişi Güvenlik Belgesi” sahibi veya bu konuda bir engeli olmayan,,* Erkek adaylar için askerlik hizmetini tamamlamış ya da en az iki yıl tecilli.",C/C++ Yazılım Uzmanı,banka_sigorta,,,"TÜRKTRUST Bilgi, İletişim ve Bilişim Güvenliği Hiz",
,,Üniversite(Mezun),"Şirketimizin Ankara'da yürütmekte olduğu büyük ölçekli yazılım projelerinde görevlendirilmek üzere; üniversitelerin Bilgisayar, Elektrik-Elektronik, Endüstri Mühendisliği veya Matematik bölümlerinden mezun, aşağıdaki niteliklerde‘’Java Yazılım Uzmanı’’ alınacaktır.
,
,* Java dili kullanarak uygulama geliştiren, ,
,* OOP, J2EE ve teknolojileriyle uygulama geliştirme konusunda tecrübeli, * JSF, Ajax, Javascript teknolojilerine aşina, * Spring hakkında bilgi sahibi,
,
,* İyi derecede SQL bilgisine sahip, ,
,* ORM teknolojileri hakkında bilgi sahibi, ,
,* Araştırma ve geliştirme odaklı, ,
,* Problem çözebilme becerisi gelişmiş, ,
,* En az iki yıl çalışma tecrübesi olan, ,
,* İyi derecede İngilizce bilen, ,
,• Geçerli bir “Kişi Güvenlik Belgesi” sahibi veya bu konuda bir engeli olmayan,
,* Erkek adaylar için askerlik hizmetini tamamlamış ya da en az iki yıl tecilli.
",Java Yazılım Uzmanı,banka_sigorta,,,"TÜRKTRUST Bilgi, İletişim ve Bilişim Güvenliği Hiz",En az 2 yıl tecrübeli adaylar
,,,"C# programlama diline ve .NET platformuna hakim,,Web tabanlı uygulama geliştirme konusunda deneyimli (.NET MVC, Entity Framework, AJAX, Jquery, HTML, CSS vb.),,MS SQL Server veritabanı tasarımı, programlama ve sorgulama konusunda deneyimli,,Nesne yönelimli programlamaya (OOP) hakim ve katmanlı mimari konusunda bilgili,,Yazılım geliştirme konusunda en az 3 yıl deneyimli,,Yeni teknolojileri öğrenme ve uygulama konusunda istekli,,En az teknik dokümanları okuyabilecek düzeyde İngilizce bilen,,Takım çalışmasına yatkın,,Yoğun çalışma temposuna alışkın,,Sorumluluk sahibi ve analitik düşünebilen,,Erkek adaylar için askerlik görevini tamamlamış,,Pozitif ve aktif çalışmayı seven takım arkadaşı aramaktayız.,İŞ TANIMI,Kurum bünyesinde geliştirilen ERP uygulaması kapsamında departmanlardan gelen ihtiyaçların teknik analizlerinin yapılması ve mimarinin oluşturulması, Yeni ERP modülleri geliştirilmesi, diğer uygulamalar ile entegrasyon işlerinin yürütülmesi",Yazılım Uzmanı,banka_sigorta,,, Doğruer Gümrük Müşavirliği A.Ş.,
,,,"Bizimle kariyere katılmaya var mısın?,Biz Türkiye Finans ailesinde birlikte üretip başarmanın değerini biliyor, ortak değerlere dayanarak sürekli ilerliyoruz.,Bilgi Sistemleri Direktörlüğümüze bağlı JAVA Yazılımcısı olarak yerini almaya hazır mısın?, ,Üniversitelerin Bilgisayar, Elektronik, Matemetik Mühendisliği bölümlerinden mezun,,En az 3 yıl deneyimli,,JAVA/J2EE ve JAVA uygulama geliştirme araçlarında (intellij idea, GIT) ile uygulama geliştirme konusunda deneyim sahibi,,Object oriented tasarım ve geliştirme ve SOA konularında deneyim sahibi,,Spring, Hibernate, konularında deneyim sahibi,,Apache Tomcat’e iyi derece hakim,,Bu niteliklerin seni anlattığını düşüyorsan başvurunu yap, Türkiye Finans'la hayata katıl.,İŞ TANIMI,İhtiyaç analizi yapılmış uygulamaların geliştirilmesi, entegrasyonu, birim testlerinin yapılması,,Uygulamalarda düzeltme, iyileştirmelerin yazılım yolu ile yapılması işlerinden sorumlu olacak çalışma arkadaşı arıyoruz.",JAVA Yazılımcısı,banka_sigorta,,,Türkiye Finans Katılım Bankası,
,,,"Bizimle kariyere katılmaya var mısın?,Biz Türkiye Finans ailesinde birlikte üretip başarmanın değerini biliyor, ortak değerlere dayanarak sürekli ilerliyoruz.,Bilgi Sistemleri Direktörlüğümüze bağlı IOS Yazılımcısı olarak yerini almaya hazır mısın?,Üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği, Matematik ya da ilgili bölümlerinden mezun,,Mobil uygulamalar geliştirme konusunda minimum 3 yıl ve üzeri tecrübe, ,Tercihen Katmanlı Yazılım Mimarisi ve MVC/MVVM konularında bilgi sahibi, ,IOS platformund,a  iyi derece tecrü,be sahibi, ,Auto- Layout kavramı hakkında bilgi sahibi,, ,Tercihen Java ,, ,Tercihen Objective-C ,, ,Kullanıcı Deneyimi (UX) ve Mobil Tasarım Desenleri (Design Patterns) hakkında bilgi sahibi,,Web/REST servisleri hakkında bilgi sahibi,, ,Bu niteliklerin seni anlattığını düşüyorsan başvurunu yap, Türkiye Finans'la hayata katıl.,İŞ TANIMI,İhtiyaç analizi yapılmış uygulamaların geliştirilmesi, entegrasyonu, birim testlerinin yapılması,,Uygulamalarda düzeltme, iyileştirmelerin yazılım yolu ile yapılması işlerinden sorumlu olacak çalışma arkadaşı arıyoruz.",IOS Yazılımcısı,banka_sigorta,,,Türkiye Finans Katılım Bankası,
,,,"Bizimle kariyere katılmaya var mısın?,Biz Türkiye Finans ailesinde birlikte üretip başarmanın değerini biliyor, ortak değerlere dayanarak sürekli ilerliyoruz.,Bilgi Sistemleri Direktörlüğümüze bağlı Back-End Yazılımcısı olarak yerini almaya hazır mısın?, ,Üniversitelerin ilgili bölümlerinden mezun,,İyi derecede C# ve .Net Framework bilen,,Asp.NET ve MVC alanında deneyimli,,JavaScript, CSS, Html tecrübeli,,.NET Core bilgisine sahip,,Object oriented tasarım, geliştirme ve SOA konularında deneyim sahibi,,WCF servis mimarisinde deneyimli,,Design pattern kullanarak geliştirme yapmış,,İyi derecede T-SQL bilen,,SOLID prensiplerini benimsemiş,,Web API, Rest, Soap servis, Wcf servis mimarileri konusunda deneyimli,,Entity Framework ORM kullanmış veya bilgi sahibi,,Linq kullanımına hakim,,Bu niteliklerin seni anlattığını düşüyorsan başvurunu yap, Türkiye Finans'la hayata katıl.,İŞ TANIMI,İhtiyaç analizi yapılmış uygulamaların geliştirilmesi, entegrasyonu, birim testlerinin yapılması,,Uygulamalarda düzeltme, iyileştirmelerin yazılım yolu ile yapılması işlerinden sorumlu olacak çalışma arkadaşı arıyoruz.",Back-End Yazılımcısı,banka_sigorta,,,Türkiye Finans Katılım Bankası,
,,,"Bizimle kariyere katılmaya var mısın?,Biz Türkiye Finans ailesinde birlikte üretip başarmanın değerini biliyor, ortak değerlere dayanarak sürekli ilerliyoruz.,Bilgi Sistemleri Direktörlüğümüze bağlı Sharepoint Yazılımcısı olarak yerini almaya hazır mısın?,Üniversitelerin ,Bilgisayar veya Yazılım Mühendisliği ,bölümlerinden mezun,,SharePoint 2010/2013/2016 ile web siteleri, intranet portalları ve iş akışı uygulamaları geliştirmiş,,WebPart, Custom Layouts, Custom Site Templates, Workflow ve Sharepoint Designer kullanabilen,,En az 3 yıl C#, .NET Framework ve ASP.NET ile uygulama geliştirme deneyime sahip,,Tercihen arayüz geliştirmelerinde kullanılan web teknolojilerine hakim, ,SQL veritabanı ko,n,usunda tecrübeli,, ,WCF ve WWF konularında deneyim sahibi, ,Tercihen SharePoint MCP sertifikalarına sahip,, ,Bu niteliklerin seni anlattığını düşüyorsan başvurunu yap, Türkiye Finans'la hayata katıl.,İŞ TANIMI,Birim proje ihtiyaçlarını belirlemek, fizibilitesini yapmak, ,BS Proje kategorizasyon faaliyetleri çerçevesinde; projedeki iş gereksinimlerini belirlemek ve tanımlamak,,Proje kapsamına bağlı çözüm modeli geliştirmek, ,Proje iş kırılım yapısını oluşturulması faaliyetlerine katılmak ve destek vermek,,Proje planına uyumu takip etmek. ",Sharepoint Yazılımcısı,banka_sigorta,,,Türkiye Finans Katılım Bankası,
,,,"Bizimle kariyere katılmaya var mısın?,
,
Biz Türkiye Finans ailesinde birlikte üretip başarmanın değerini biliyor, ortak değerlere dayanarak sürekli ilerliyoruz.,
,
Bilgi Sistemleri Direktörlüğümüze bağlı Yazılım Uzmanı olarak yerini almaya hazır mısın?,
,Üniversitelerin ,Bilgisayar veya Yazılım Mühendisliği ,bölümlerinden mezun,,.Net, C#, SQL Server bilen, ,Tercihen bankacılık sektöründe deneyimli, ,Teknolojiye ve yazılıma meraklı, ,Yazılım geliştirme süreçlerine ilgi duyan, gelişime açık.   ,Bu niteliklerin seni anlattığını düşüyorsan başvurunu yap, Türkiye Finans'la hayata katıl.,İŞ TANIMI,
,İhtiyaç analizi yapılmış uygulamaların geliştirilmesi, entegrasyonu, birim testlerinin yapılması,,Uygulamalarda düzeltme, iyileştirmelerin yazılım yolu ile yapılması işlerinden sorumlu olacak çalışma arkadaşı arıyoruz., ",Yazılım Uzmanı,banka_sigorta,,,Türkiye Finans Katılım Bankası,
,,,"Firmamızın yazılım kadrosunda çalışmak üzere,,Üniversitelerin ilgili bölümlerinden mezun, ,En az 3 yıl .NET C# platformunda yazılım geliştirmiş, ,Microsoft Dynamics 365 (CRM) üzerinde yazılım geliştirme tecrübesi olan (Şart),,JavaScript, CSS, HTML ve ASP.NET MVC teknolojilerini bilen, ,Teknik döküman okuyabilecek derecede İngilizce bilen, ,Erkek adaylar için askerliğini yapmış, ,Tercihen İstanbul Anadolu yakasında ikamet eden ,kıdemli Microsoft Dynamics 365/CRM yazılım uzmanları arıyoruz.,Lütfen bugüne kadar dahil olduğunuz tüm yazılım projelerini detaylı olarak özgeçmişinizde belirtiniz.,İŞ TANIMI,Yazılım uzmanı, şirketimizin ,Microsoft Dynamics 365/CRM, platformu üzerinde geliştirmiş olduğu çözümlerin uyarlamasında görev alacaktır.",Kıdemli Dynamics 365/CRM Yazılım Uzmanı,banka_sigorta,,,Genbil Yazılım,
,,,"JD Edwards yazılım geliştirme uzmanı (Dönemsel),%100 yabanci sermayeli firmamız için,BT müdürüne bağlı çalışacak;,* JD Edwards ERP üzerinde JDE geliştirme ortamında yazılım geliştirme yapabilecek,,* Sistemde çıkan sorunlara çözüm bulabilecek,,* JD Edwards Lojistik,Üretim,Kalite modüllerinde tecrübeli,* JD Edwards yazılım geliştirme uzmanı aranmaktadır.",JD EDWARDS Yazılım Geliştirme Uzmanı ( dönemsel ),banka_sigorta,,,Gizli Firma,
,,,"PHP Programlama dilinde en az  2 yıl tecrübeli,  ,Tercihen Python ve Django konusunda bilgi sahibi,,JSON, XML, SOAP vb. web servisler konusunda bilgi sahibi, ,JavaScript ve JQuery konusuna hakim, ,MySQL bilgisine sahip, ,HTML5, XHTML, CSS ve BOOTSTRAP bilgisine sahip, ,Nesne yönelimli programlamaya ilgili framework ve tasarım desenlerine hakim, ,Güvenlik, performans ve optimizasyon konularında deneyimli ,Analitik düşünme ve problem çözme yeteneğine sahip, planlama ve organizasyon becerileri gelişmiş,,Araştırma ruhunu kaybetmemiş, yeni teknolojileri öğrenmeye meraklı, ,Git Kullanabilen, ,Erkek adaylar için askerlik görevini tamamlamış veya en az 2 yıl tecilli. ,Çalışma arkadaşları aramaktayız.,İŞ TANIMI,İSTANBUL/Beşiktaş/Balmumcu merkez ofisimizde görevlendirilmek üzere ',Yazılım Geliştirme Uzman,ı', aramaktayız.",Yazılım Geliştirme Uzmanı,banka_sigorta,,,Hct Bilişim,
,,,"G,ENEL NİTELİKLER VE İŞ TANIMI,Yazılım mühendisliği konusunda kendisini geliştirmeye istekli takım arkadaşları arıyoruz. , ,Başvurular 3 kategoride değerlendirilecektir:, ,0-2 yıl tecrübeli, yazılım mühendisi,2-5 yıl tecrübeli, kıdemli yazılım mühendisi,5+ yıl tecrübeli, uzman yazılım mühendisi, ,Genel Nitelikler,·     ,Üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği, Elektrik/Elektronik Mühendisliği veya ilgili diğer bölümlerinden mezun,,·,     ,Yazılım geliştirme süreçlerine hakim, yazılım kalitesi konusunda bilgili,,·,     ,Yazılım geliştirme süreç dokümanlarının oluşturulması ve gözden geçirilmesi tecrübesine sahip,,·,     ,Nesne yönelimli analiz, tasarım ve geliştirme konularında bilgili,,·,     ,Konfigürasyon ve değişiklik yönetimi araçları kullanma tecrübesi olan (SVN, JIRA, ClearCase, ClearQuest vb),,·,     ,C# ve C++ programlama dillerinde yazılım geliştirme deneyimine sahip,,·,     ,Araştırmacı ve sürekli gelişime açık,,·,     ,Yazılı ve sözlü olarak iyi derecede İngilizce iletişim kurabilen,,·,     ,Çok kültürlü çalışma ortamlarına çabuk uyum sağlayıp, etkin çalışabilen., ,Tercih Edilen Nitelikler,·     ,Savunma Sanayii projelerinde deneyimli olmak,,·,     ,Emniyet-Kritik veya Görev-Kritik projelerde tecrübeye sahip olmak,,·,     ,Askeri/endüstriyel haberleşme veri yolları (RS485/422/232, Canbus, Ethernet, Mil-Std-1553, ARINC-429) ile ilgili bilgi sahibi olmak,,·,      T,est/simülasyon yazılımları geliştirme tecrübesine sahip olmak,,·,      ,Tasarım örüntüleri ile ilgili bilgi ve deneyim sahibi olmak., ,İŞ TANIMI,·    ,Yazılım geliştirme ekibinin bir üyesi olarak Gereksinim Analizi, Tasarım, Kodlama ve Doğrulama faaliyetlerinde görev almak.  , ",Yazılım Geliştirme Mühendisi,banka_sigorta,,,PROVEN Bilişim Teknolojileri,
(Belirtilmemiştir),Sürekli / Tam zamanlı,,"Firmamızın İstanbul Bölge Müdürlüğünde görevlendirilmek üzere;,Üniversitelerin ,Elektrik-Elektronik/Haberleşme/Bilgisayar Mühendisliği ,bölümlerinden mezun,,İyi derecede İngilizce bilen,,Microsoft teknolojilerinde deneyimli,,Kendini geliştirmeye açık ve yeni teknolojiler ile çalışmak isteyen,,Yoğun iş temposuna ayak uydurabilecek,,Ekip çalışmasına ve işbirliğine yatkın, müşteri odaklı,,İş takibi ve sonuçlandırılması konusunda sorumluluk sahibi,,Aktif araç kullanabilen ve seyahat engeli olmayan,,Askerliğini tamamlamış veya en az 2 yıl tecilli (Erkek adaylar için) ,Deneyimli veya yetiştirilmek üzere, ,Mühendisle,r, alınacaktır., ,İŞ TANIMI,Alınacak mühendislerin iş ve görev kapsamı aşağıdaki gibidir., ,Çağrı Merkezi, ses kayıt sistemleri ve pbx ürünlerinin satış sonrası kurulum ve servis hizmetlerinin verilmesi,,Teknik eğitimlerin verilmesi,,Uygulama yazılımlarının geliştirilmesi ve mevcut uygulama yazılımlarının kurulan sistemler ile entegrasyonu,,Yurtdışı sertifikasyon programlarına katılım ve İngilizce teknik dökümanların takip edilmesi",Bilgisayar Mühendisi,banka_sigorta,,Mühendislik,Sistaş Sayısal İletişim San. ve Tic. A.Ş.,
,,,"Porland, 1976 yılından bugüne, gerek Ev gerekse Gastronomi kesimine hizmet eden ürün yelpazesiyle, tasarımdan üretim aşamasına kadar her ince detayı üstün teknoloji ve iş gücüyle ürünlerine yansıtan, dünya trendlerinin de ötesinde sektörde trend belirleyici olarak konumlanan, 42 yıllık deneyime sahip, Türkiye’nin önde gelen porselen markasıdır. Bilecik’teki kendi tesislerinde, porselen üretiminin yanı sıra ürün gamındaki ev gereksinimine yanıt verebilen “Masaüstü, Mutfak, Ev-Dekor, Tekstil ve Banyo” kategorilerindeki ürünleriyle de müşterilerin her türlü alışveriş gereksinimine cevap vermektedir. Ayrıca dünya markalarından olan cam üreticisi Libbey ve Luigi Bormioli de mağazalarında satışta olan markalardan bazılarıdır. Porland 1600’ü aşkın çalışanın istihdam edildiği, Türkiye’nin en büyük porselen üreticilerinden birisidir. 6 bölge müdürlüğü, perakende de yurt çapına yayılmış büyük m2’li 30 konsept mağazası ve online alışveriş sitesi  ile sadece yurt içinde değil, yurt dışı pazarlarının da aranılan markasıdır. Porland, 300 bin metrekare açık ve 70 bin metrekare kapalı alana sahip Bilecik tesislerinde, yılda yaklaşık 70 milyon adet üretiminin %65’ini dört ana kıtada, 30’dan fazla ülkeye ihraç ederek başarısını uluslararası platformlara da taşımaktadır. Bünyesinde bulunan tasarım ekibiyle dünya trendlerini takip ederek ve özgün tasarımlarıyla trend belirleyici konumunda çalışmalarını sürdürmektedir. “Kendi Takımını Kendin Oluştur”, “Özgür Sofralar için Özgün Tasarımlar”, “Seç&Beğen&Birleştir” sloganlarıyla müşterilerine mağazalarında ve tüm satış kanallarında eşsiz müşteri deneyimi yaşatmaktadır. Ar-Ge deneyimine ve güncel teknoloji ile donatılmış Ar-Ge laboratuvarlarına sahip olan Porland, bu yöndeki çalışmalarını strateji ve büyüme hedeflerine paralel olarak şekillendirerek, bu çerçevede hedef pazarlara optimize edilmiş ürünleri, yaratıcı tasarımları, çevreci yaklaşımlarla sunmaktadır. Porland, Türk Standartları Enstitüsünün 10850 kalite belgesine ilk sahip olan yerli porselen üreticisidir. IHA’nın (International Housewares Association) Şikago’da düzenlediği fuarda, perakende sektöründeki genel mükemmellik, inovasyon ve yaratıcı görsel düzenleme konularını onurlandıran GIA (Global Innovation Awards) yani Küresel İnovasyon Ödülü’nü ve dünyada 30 ülkeden sadece sektörün önde gelen markalarına verilen Global Honoree 2019 Ödülü’nü de almaya hak kazandık. Porland, son yıllardaki büyük büyüme ivmesini her geçen gün yükseltmekte ve ileriki yıllar için yurt dışında da aranan porselen markası olma vizyonunu hedef edinmiştir.,Sektörünün lider firması Porland Porselen grup şirketi olan ''İmge'' bünyesine, Bilecik Fabrikada görevlendirilmek üzere aşağıdaki belirtilen niteliklere uygun ''Bilgi Sistemleri Elemanı'' aranmaktadır. ,İŞ TANIMI,*As400-RPG  yazılımı konusunda yetiştirilmek üzere;,*Üniversitelerin Bilgisayar Mühendisliği - Programlama veya ilgili bölümlerinden mezun,,*En az bir programlama dilini Çok iyi bilen ( tercihen c# ),,*Literatürü takip edecek seviyede İngilizce bilen,,*Takım çalışmasında aktif rol alabilecek, ,*İletişim yeteneği yüksek,,*Esnek Çalışma saatlerine uyum sağlayabilecek,,*Yurtiçi ve Yurtdışı seyahat engeli olmayan,,*Kendini geliştirmeye ve öğrenmeye açık, istekli,,*Erkek adaylar için askerlik görevini tamamlamış,,*Bilecik ilinde ikamet eden veya edebilecek takım elemanları aranmaktadır.",Bilgi Sistemleri Elemanı,banka_sigorta,,,PORLAND PORSELEN SANVE TİC.A.Ş.,
,,,"Yazılım ekibimizde Back-end, Front-end veya Mobil developer olarak değerlendirmek ,üzere,, Üniversitelerin Bilgisayar/Yazılım Mühendisliği Bölümlerinden mezun,, Araştırma, keşfetme ve yeni şeyler öğrenmeye hevesli,, Askerliğini yapmış ya da muaf,, Literatürleri / kaynakları takip edebilecek düzeyde ingilizce bilen., Tecrübeli,,- İÇTEN, DÜRÜST, SAMİMİ,- İŞİNE TUTKULU, ,- SORUMLULUK ALAN,takım arkadaşları aramaktayız.,Bu arada Biz Ne Yapıyoruz;,Back-End;, OOP(Object oriented programming), AOP(Aspect oriented programming) ve tasarım desenleri,, C# ve Asp Net WebApi / MVC,, MS SQL Server ve PostgreSQL veritabanlarında tasarım,, Entity Framework,, Asenkron programlama,, Unit Test ve Integration Test,, Kaynak kodu yönetimi (Git / TFS),,Front-End;, HTML5, CSS3 ve JavaScript teknolojileri,, Responsive tasarım,, Angular framework ve typescript,, RESTful servisler,,Mobil Developer,React Native,teknolojileri kullanarak inovatif fikirlerle Endüstri 4.0 ekosistemine tutku ile çözüm üretiyoruz.",Yazılım Mühendisi,banka_sigorta,,,Gizli Firma,
,,,"Vehbi Koç Vakfı Sağlık Kuruluşları, Global Fortune 500 listesindeki tek Türk şirketi olan Koç Topluluğu’na bağlı hizmet veren, kar amacı gütmeyen hastaneler grubudur. , Amerikan Hastanesi, MedAmerikan Tıp Merkezi, Koç Üniversitesi Hastanesi, ve Bodrum Amerikan Hastanesi olarak Vehbi Koç Vakfı Sağlık Kuruluşları çatısı altında hizmet vermekteyiz. Hastanelerimizde sağlık hizmetlerini sunarken, bilgimiz, becerimiz ve mükemmelliyetçiliğimizle en güncel teknolojileri bir araya getiriyoruz. Ancak insan kaynağımızın en değerli varlığımız olduğunu biliyor, nitelikli insan kaynağımızı artırmak için sürekli yatırımda bulunuyoruz. Belirlediğimiz klinik yol, rehber ve talimatlarla 2018 yılında 500 bini aşkın hastaya aynı kalitede güvenilir, şeffaf ve kapsamlı tanı, tedavi ve bakım hizmeti sunduk. Hacim-bazlı yerine değer-bazlı bir sistem oluşturarak, bu doğrultuda yarattığımız insan kaynağımız ile hastalarımızı memnun etmeye çalışmanın mutluluğunu yaşadık ve yaşamaya devam etmek için var gücümüzle çalışıyoruz. Gerek idari personelimizin gerekse medikal ekibimizin gereksinim, beklenti ve haklarını önemsiyoruz. Her geçen yıl çalışan memnuniyet endeksinin artış gösterdiği kurumlarımızda kadınların ekonomiye katılımını ayrıca destekliyoruz. Geçmişten bugüne biz bir aileyiz ve ailemize yeni üyelerin katılmasından heyecan duyuyoruz. ,Amerikan Hastanesi Bilgi Teknolojileri Bölümü Yazılım ekibinde görevlendirilmek üzere,'' Yazılım Uzmanı'',arayışımız bulunmaktadır. ,Üniversitelerin Bilgisayar, Matematik, Endüstri Mühendisliği bölümlerinden mezun,,.Net platformunda C# ile program geliştirmiş, ,Web tabanlı uygulama geliştirmede tecrübeli, HTML, CSS, Javascript konularında bilgili, ,SQL Server, T-SQL bilgisi olan, ,Oracle, PL/SQL ve VBScript bilgisi olan, ,Yazılım alanında en az 3 yıllık tecrübesi olan, ,Dinamik bir ortamda çalışmaya yatkın, ,Sorumluluk duygusu yüksek, ,İş takibi ve sonuçlandırılması konusunda başarılı, ,Dokümantasyonu seven, yaptığı işi raporlayabilen, ,Bilgi güvenliğini ihmal etmeyen, sorunlara proje odaklı yaklaşan, çözüm yeteneği gelişmiş, ,İleri seviyede İngilizce bilgisine sahip.",Yazılım Uzmanı,banka_sigorta,,,Amerikan Hastanesi,
Sürekli / Tam zamanlı,Bilgi İşlem,,"Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar programcılığı veya benzeri bölümlerinden mezun,,Web ,tabanlı kurumsal uygulama geliştirmede en az 5 yıl deneyimli,,.,NET Framework, ASP.NET, MVC, WebForm, JavaScript, XML, JSON, CSS, Ajax, jQuery, SOAP, REST Web teknolojilerine ve C# proglamlama diline hakim,,İyi derecede T-SQL bilen, tercihen MSSQL ile çalışmış,,Object Oriented tasarım ve programlama konularına hakim,,Takım halinde yazılım geliştirme süreçlerinde bulunmuş,,TFS, Git vb. source control sistemleriyle çalışmış,,İyi derecede İngilizce bilen,,Erkek adaylar için askerlik hizmetini tamamlamış, ,İş Tanımı:,Kurumsal ölçekli müşterilerimizin yazılım projelerinde görevlendirilmek üzere,,Takım lideri tarafından verilecek yazılım geliştirme görevlerini analize uygun bir şekilde eksiksiz tamamlayacak,,Mevcut yazılım uygulamalarına destek hizmeti verecek, gerekirse revizyon ve ek geliştirmeler yapacak.",Yazılım Geliştirme Uzmanı,banka_sigorta,İstanbul(Asya),Yazılım,DAD YAZILIM VE SANAYİ TİC. LTD. ŞTİ.,5 - 10 yıl tecrübeli adaylar
